2019-06-24 16:01:52,168 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:53,261 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:54,355 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:55,450 | imap_monitor | INFO | no new messages seen
2019-06-24 16:01:58,252 | imap_monitor | INFO | connecting to IMAP server - imap.gmail.com
2019-06-24 16:01:58,434 | imap_monitor | INFO | server connection established
2019-06-24 16:01:58,436 | imap_monitor | INFO | selecting IMAP folder - INBOX
2019-06-24 16:01:58,496 | imap_monitor | INFO | folder selected
2019-06-24 16:02:08,623 | imap_monitor | INFO | 1 new unread messages - [2937]
2019-06-24 16:02:08,674 | imap_monitor | INFO | processing email 2937 - {'BODY[HEADER.FIELDS (SUBJECT)]': 'Subject: Your YoUPS account is ready!\r\n\r\n', 'SEQ': 2487}
2019-06-24 16:02:48,590 | imap_monitor | INFO | connecting to IMAP server - imap.gmail.com
2019-06-24 16:02:48,852 | imap_monitor | INFO | server connection established
2019-06-24 16:02:48,855 | imap_monitor | INFO | selecting IMAP folder - INBOX
2019-06-24 16:02:49,031 | imap_monitor | INFO | folder selected
2019-06-24 16:02:50,161 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:51,265 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:52,363 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:53,496 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:54,607 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:55,703 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:56,826 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:57,974 | imap_monitor | INFO | no new messages seen
2019-06-24 16:02:59,077 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:00,179 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:01,278 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:02,376 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:03,451 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:04,550 | imap_monitor | INFO | no new messages seen
2019-06-24 16:03:05,650 | imap_monitor | INFO | no new messages seen
